rank,count,balls,strikes,outs,outs_label,base_state,base_state_label,current_expected_runs,re_if_strike,re_if_ball,challenge_value,tier,recommendation,sample_size
20,2-2,2,2,1,1 Out,011,Runners on 2nd & 3rd,1.1626016260162602,0.6256263421617753,1.4766355140186915,0.8510091718569163,Strong Challenge,Strong challenge opportunity,492
21,2-2,2,2,0,0 Outs,110,Runners on 1st & 2nd,1.5151515151515151,0.9572794899043572,1.8057553956834531,0.8484759057790959,Strong Challenge,Strong challenge opportunity,759
22,3-0,3,0,1,1 Out,111,Bases Loaded,2.3947368421052637,1.831683168316832,2.598494353826851,0.766811185510019,Strong Challenge,Strong challenge opportunity,38
23,3-2,3,2,2,2 Outs,101,Runners on 1st & 3rd,0.4805825242718446,0.0,0.7524446731857951,0.7524446731857951,Strong Challenge,Strong challenge opportunity,412
23,3-2,3,2,2,2 Outs,011,Runners on 2nd & 3rd,0.4423480083857442,0.0,0.7524446731857951,0.7524446731857951,Strong Challenge,Strong challenge opportunity,477
23,3-2,3,2,2,2 Outs,110,Runners on 1st & 2nd,0.499514091350826,0.0,0.7524446731857951,0.7524446731857951,Strong Challenge,Strong challenge opportunity,1029
24,1-2,1,2,1,1 Out,111,Bases Loaded,1.3797909407665503,0.7524446731857951,1.4934782608695651,0.74103358768377,Situational,Use game context before challenging,574
25,3-2,3,2,1,1 Out,100,Runner on 1st,0.6127110228401191,0.2265067333872985,0.9572794899043572,0.7307727565170588,Situational,Use game context before challenging,2014
26,1-2,1,2,2,2 Outs,111,Bases Loaded,0.5450704225352113,0.0,0.7282958199356914,0.7282958199356914,Situational,Use game context before challenging,710
27,2-0,2,0,1,1 Out,111,Bases Loaded,1.7554347826086956,1.6734006734006734,2.3947368421052637,0.7213361687045903,Situational,Use game context before challenging,184
28,3-0,3,0,2,2 Outs,111,Bases Loaded,1.1333333333333333,1.04,1.7524446731857952,0.7124446731857952,Situational,Use game context before challenging,75
29,2-2,2,2,0,0 Outs,111,Bases Loaded,1.8901734104046244,1.5984943538268508,2.2777777777777777,0.6792834239509269,Situational,Use game context before challenging,173
30,2-0,2,0,0,0 Outs,110,Runners on 1st & 2nd,1.885057471264368,1.5698689956331875,2.2448979591836733,0.6750289635504858,Situational,Use game context before challenging,348
31,3-1,3,1,1,1 Out,101,Runners on 1st & 3rd,1.3333333333333333,0.9305555555555556,1.5984943538268508,0.6679387982712952,Situational,Use game context before challenging,123
32,0-2,0,2,0,0 Outs,111,Bases Loaded,1.9150943396226412,1.5984943538268508,2.239130434782609,0.6406360809557581,Situational,Use game context before challenging,212
33,3-1,3,1,0,0 Outs,101,Runners on 1st & 3rd,2.018181818181818,1.7936507936507935,2.428763440860215,0.6351126472094215,Situational,Use game context before challenging,55
34,3-2,3,2,1,1 Out,010,Runner on 2nd,0.740495867768595,0.3233202986135798,0.9572794899043572,0.6339591912907774,Situational,Use game context before challenging,1210
35,0-2,0,2,1,1 Out,111,Bases Loaded,1.2470588235294118,0.7524446731857951,1.3797909407665503,0.6273462675807552,Situational,Use game context before challenging,425
36,3-1,3,1,0,0 Outs,110,Runners on 1st & 2nd,1.936842105263158,1.8057553956834531,2.428763440860215,0.6230080451767619,Situational,Use game context before challenging,190
37,3-2,3,2,0,0 Outs,000,Bases Empty,0.5586339477552866,0.2658441001775763,0.8872843210802701,0.6214402209026938,Situational,Use game context before challenging,8843
38,2-2,2,2,1,1 Out,110,Runners on 1st & 2nd,0.8991466252909232,0.4585734870317003,1.0495552731893265,0.5909817861576262,Situational,Use game context before challenging,1289
39,1-2,1,2,1,1 Out,101,Runners on 1st & 3rd,0.9678899082568808,0.4806763285024155,1.0614754098360657,0.5807990813336502,Situational,Use game context before challenging,654
40,2-2,2,2,1,1 Out,001,Runner on 3rd,0.8831967213114754,0.3375162267416702,0.9159891598915988,0.5784729331499285,Situational,Use game context before challenging,488
41,2-2,2,2,0,0 Outs,101,Runners on 1st & 3rd,1.7427385892116185,1.215609756097561,1.7936507936507935,0.5780410375532326,Situational,Use game context before challenging,241
42,2-0,2,0,1,1 Out,101,Runners on 1st & 3rd,1.424489795918367,1.1837349397590362,1.7524752475247525,0.5687403077657163,Situational,Use game context before challenging,245
43,2-0,2,0,1,1 Out,110,Runners on 1st & 2nd,1.269949066213922,0.9804878048780488,1.5459770114942528,0.565489206616204,Situational,Use game context before challenging,589
44,2-2,2,2,0,0 Outs,010,Runner on 2nd,1.0857142857142856,0.6580310880829016,1.2188328912466844,0.5608018031637828,Situational,Use game context before challenging,1155
45,0-2,0,2,1,1 Out,011,Runners on 2nd & 3rd,1.2317708333333333,0.6256263421617753,1.18625678119349,0.5606304390317148,Situational,Use game context before challenging,384
46,1-2,1,2,0,0 Outs,110,Runners on 1st & 2nd,1.4096638655462186,0.9572794899043572,1.5151515151515151,0.557872025247158,Situational,Use game context before challenging,952
47,3-1,3,1,1,1 Out,110,Runners on 1st & 2nd,1.271641791044776,1.0495552731893265,1.5984943538268508,0.5489390806375243,Situational,Use game context before challenging,335
48,1-2,1,2,1,1 Out,001,Runner on 3rd,0.8097928436911488,0.3375162267416702,0.8831967213114754,0.5456804945698053,Situational,Use game context before challenging,531
49,2-2,2,2,0,0 Outs,011,Runners on 2nd & 3rd,1.7241379310344829,1.395849346656418,1.9411764705882355,0.5453271239318176,Situational,Use game context before challenging,203
50,0-2,0,2,2,2 Outs,111,Bases Loaded,0.5495327102803739,0.0,0.5450704225352113,0.5450704225352113,Situational,Use game context before challenging,535
51,3-1,3,1,0,0 Outs,100,Runner on 1st,1.2153047989623864,1.0274485339987522,1.571897810218978,0.5444492762202258,Situational,Use game context before challenging,771
52,1-2,1,2,1,1 Out,011,Runners on 2nd & 3rd,1.18625678119349,0.6256263421617753,1.1626016260162602,0.5369752838544849,Situational,Use game context before challenging,553
53,1-2,1,2,0,0 Outs,001,Runner on 3rd,1.1526717557251909,0.8974358974358975,1.4253731343283582,0.5279372368924607,Situational,Use game context before challenging,131
54,1-2,1,2,0,0 Outs,101,Runners on 1st & 3rd,1.6597222222222223,1.215609756097561,1.7427385892116185,0.5271288331140576,Situational,Use game context before challenging,288
55,2-2,2,2,0,0 Outs,100,Runner on 1st,0.8213483146067416,0.5191592685332727,1.0274485339987522,0.5082892654654796,Situational,Use game context before challenging,2670
56,3-1,3,1,0,0 Outs,001,Runner on 3rd,1.6,1.3214285714285714,1.8223185265438784,0.500889955115307,Situational,Use game context before challenging,50
57,2-2,2,2,2,2 Outs,110,Runners on 1st & 2nd,0.3360995850622407,0.0,0.499514091350826,0.499514091350826,Situational,Use game context before challenging,1687
58,3-0,3,0,0,0 Outs,110,Runners on 1st & 2nd,2.2448979591836733,1.936842105263158,2.428763440860215,0.4919213355970571,Situational,Use game context before challenging,98
59,0-1,0,1,0,0 Outs,111,Bases Loaded,2.160458452722063,1.9150943396226412,2.4038461538461537,0.48875181422351255,Situational,Use game context before challenging,349
60,3-1,3,1,0,0 Outs,011,Runners on 2nd & 3rd,2.1785714285714284,1.9411764705882355,2.428763440860215,0.4875869702719795,Situational,Use game context before challenging,56
61,0-2,0,2,1,1 Out,101,Runners on 1st & 3rd,1.077669902912621,0.4806763285024155,0.9678899082568808,0.48721357975446533,Situational,Use game context before challenging,515
62,3-0,3,0,0,0 Outs,111,Bases Loaded,2.571428571428572,2.9444444444444446,3.428763440860215,0.48431899641577036,Situational,Use game context before challenging,28
63,3-2,3,2,2,2 Outs,001,Runner on 3rd,0.3075601374570447,0.0,0.4806763285024155,0.4806763285024155,Situational,Use game context before challenging,582
64,2-2,2,2,2,2 Outs,101,Runners on 1st & 3rd,0.378419452887538,0.0,0.4805825242718446,0.4805825242718446,Situational,Use game context before challenging,658
65,0-2,0,2,1,1 Out,001,Runner on 3rd,0.7197802197802198,0.3375162267416702,0.8097928436911488,0.4722766169494786,Situational,Use game context before challenging,364
66,0-1,0,1,0,0 Outs,001,Runner on 3rd,1.236842105263158,1.013157894736842,1.4830508474576272,0.46989295272078513,Situational,Use game context before challenging,152
67,0-0,0,0,0,0 Outs,111,Bases Loaded,2.428763440860215,2.160458452722063,2.6214285714285714,0.4609701187065083,Situational,Use game context before challenging,744
68,3-2,3,2,2,2 Outs,010,Runner on 2nd,0.3076923076923077,0.0,0.4585734870317003,0.4585734870317003,Situational,Use game context before challenging,1573
68,3-2,3,2,2,2 Outs,100,Runner on 1st,0.2468719923002887,0.0,0.4585734870317003,0.4585734870317003,Situational,Use game context before challenging,2078
69,2-1,2,1,0,0 Outs,011,Runners on 2nd & 3rd,1.875,1.7241379310344829,2.1785714285714284,0.4544334975369455,Situational,Use game context before challenging,120
70,0-2,0,2,0,0 Outs,110,Runners on 1st & 2nd,1.337442218798151,0.9572794899043572,1.4096638655462186,0.4523843756418614,Situational,Use game context before challenging,649
71,2-2,2,2,1,1 Out,101,Runners on 1st & 3rd,1.0614754098360657,0.4806763285024155,0.9305555555555556,0.4498792270531401,Situational,Use game context before challenging,488
72,1-2,1,2,2,2 Outs,011,Runners on 2nd & 3rd,0.407725321888412,0.0,0.4487179487179487,0.4487179487179487,Situational,Use game context before challenging,699
73,0-2,0,2,0,0 Outs,101,Runners on 1st & 3rd,1.4956521739130435,1.215609756097561,1.6597222222222223,0.4441124661246614,Situational,Use game context before challenging,230
74,2-2,2,2,2,2 Outs,011,Runners on 2nd & 3rd,0.4487179487179487,0.0,0.4423480083857442,0.4423480083857442,Situational,Use game context before challenging,702
75,1-2,1,2,1,1 Out,110,Runners on 1st & 2nd,0.8290282902829028,0.4585734870317003,0.8991466252909232,0.44057313825922284,Situational,Use game context before challenging,1626
76,1-2,1,2,0,0 Outs,010,Runner on 2nd,0.9652665589660744,0.6580310880829016,1.0857142857142856,0.42768319763138407,Situational,Use game context before challenging,1238
77,2-2,2,2,0,0 Outs,001,Runner on 3rd,1.4253731343283582,0.8974358974358975,1.3214285714285714,0.42399267399267393,Situational,Use game context before challenging,134
78,2-1,2,1,0,0 Outs,110,Runners on 1st & 2nd,1.5698689956331875,1.5151515151515151,1.936842105263158,0.4216905901116428,Situational,Use game context before challenging,458
79,2-2,2,2,1,1 Out,010,Runner on 2nd,0.6223250433776749,0.3233202986135798,0.740495867768595,0.4171755691550152,Situational,Use game context before challenging,1729
80,3-2,3,2,1,1 Out,000,Bases Empty,0.3171496862862265,0.1029224904701397,0.5191592685332727,0.416236778063133,Situational,Use game context before challenging,6694
81,0-1,0,1,0,0 Outs,011,Runners on 2nd & 3rd,1.8740458015267176,1.5974842767295598,2.0090909090909093,0.4116066323613494,Situational,Use game context before challenging,262
82,3-0,3,0,0,0 Outs,101,Runners on 1st & 3rd,1.6923076923076923,2.018181818181818,2.428763440860215,0.41058162267839693,Situational,Use game context before challenging,39
83,0-2,0,2,2,2 Outs,011,Runners on 2nd & 3rd,0.4758064516129032,0.0,0.407725321888412,0.407725321888412,Situational,Use game context before challenging,372
84,1-0,1,0,0,0 Outs,110,Runners on 1st & 2nd,1.7115384615384617,1.4885416666666669,1.885057471264368,0.3965158045977011,Low Value,Generally save the challenge,1040
85,2-1,2,1,0,0 Outs,100,Runner on 1st,0.9756613756613756,0.8213483146067416,1.2153047989623864,0.3939564843556448,Low Value,Generally save the challenge,1890
86,2-2,2,2,1,1 Out,100,Runner on 1st,0.461027713625866,0.2265067333872985,0.6127110228401191,0.38620428945282065,Low Value,Generally save the challenge,3464
87,1-2,1,2,2,2 Outs,101,Runners on 1st & 3rd,0.3252314814814814,0.0,0.378419452887538,0.378419452887538,Low Value,Generally save the challenge,864
88,2-1,2,1,1,1 Out,110,Runners on 1st & 2nd,0.9804878048780488,0.8991466252909232,1.271641791044776,0.3724951657538528,Low Value,Generally save the challenge,820
89,0-2,0,2,1,1 Out,110,Runners on 1st & 2nd,0.7183333333333334,0.4585734870317003,0.8290282902829028,0.3704548032512025,Low Value,Generally save the challenge,1200
90,2-0,2,0,0,0 Outs,100,Runner on 1st,1.063391442155309,0.9756613756613756,1.3423913043478262,0.3667299286864506,Low Value,Generally save the challenge,1262
91,1-1,1,1,2,2 Outs,111,Bases Loaded,0.6834733893557423,0.5450704225352113,0.909313725490196,0.36424330295498464,Low Value,Generally save the challenge,714
92,3-0,3,0,0,0 Outs,100,Runner on 1st,1.3423913043478262,1.2153047989623864,1.571897810218978,0.3565930112565916,Low Value,Generally save the challenge,368
93,2-1,2,1,0,0 Outs,010,Runner on 2nd,1.2604456824512535,1.0857142857142856,1.440625,0.3549107142857144,Low Value,Generally save the challenge,718
94,3-1,3,1,0,0 Outs,010,Runner on 2nd,1.440625,1.2188328912466844,1.571897810218978,0.35306491897229364,Low Value,Generally save the challenge,320
95,1-0,1,0,1,1 Out,101,Runners on 1st & 3rd,1.271186440677966,1.0722543352601157,1.424489795918367,0.3522354606582514,Low Value,Generally save the challenge,708
96,1-1,1,1,0,0 Outs,001,Runner on 3rd,1.4830508474576272,1.1526717557251909,1.5,0.34732824427480913,Low Value,Generally save the challenge,118
97,3-1,3,1,1,1 Out,100,Runner on 1st,0.7617554858934169,0.6127110228401191,0.9572794899043572,0.34456846706423805,Low Value,Generally save the challenge,957
98,1-0,1,0,1,1 Out,110,Runners on 1st & 2nd,1.08130081300813,0.9278846153846154,1.269949066213922,0.3420644508293065,Low Value,Generally save the challenge,1722
99,2-1,2,1,1,1 Out,111,Bases Loaded,1.6734006734006734,1.4934782608695651,1.831683168316832,0.33820490744726683,Low Value,Generally save the challenge,297
100,1-2,1,2,2,2 Outs,110,Runners on 1st & 2nd,0.3132470119521912,0.0,0.3360995850622407,0.3360995850622407,Low Value,Generally save the challenge,2008
101,2-0,2,0,0,0 Outs,011,Runners on 2nd & 3rd,1.941747572815534,1.875,2.2093023255813957,0.3343023255813957,Low Value,Generally save the challenge,103
102,3-1,3,1,0,0 Outs,000,Bases Empty,0.6707595659623072,0.5586339477552866,0.8872843210802701,0.3286503733249835,Low Value,Generally save the challenge,3502
103,1-2,1,2,0,0 Outs,011,Runners on 2nd & 3rd,1.705128205128205,1.395849346656418,1.7241379310344829,0.32828858437806496,Low Value,Generally save the challenge,234
104,1-0,1,0,2,2 Outs,111,Bases Loaded,0.9118825100133512,0.6834733893557423,1.010600706713781,0.3271273173580387,Low Value,Generally save the challenge,749
105,3-0,3,0,1,1 Out,110,Runners on 1st & 2nd,1.5459770114942528,1.271641791044776,1.5984943538268508,0.32685256278207486,Low Value,Generally save the challenge,174
106,0-2,0,2,2,2 Outs,101,Runners on 1st & 3rd,0.3198707592891761,0.0,0.3252314814814814,0.3252314814814814,Low Value,Generally save the challenge,619
107,0-2,0,2,2,2 Outs,110,Runners on 1st & 2nd,0.2693700217233888,0.0,0.3132470119521912,0.3132470119521912,Low Value,Generally save the challenge,1381
108,0-0,0,0,2,2 Outs,111,Bases Loaded,0.7524446731857951,0.5993657505285412,0.9118825100133512,0.31251675948480995,Low Value,Generally save the challenge,1943
109,2-1,2,1,2,2 Outs,111,Bases Loaded,0.909313725490196,0.7282958199356914,1.04,0.31170418006430867,Low Value,Generally save the challenge,408
110,3-1,3,1,2,2 Outs,011,Runners on 2nd & 3rd,0.6190476190476191,0.4423480083857442,0.7524446731857951,0.31009666480005094,Low Value,Generally save the challenge,189
111,0-2,0,2,0,0 Outs,011,Runners on 2nd & 3rd,1.5974842767295598,1.395849346656418,1.705128205128205,0.30927885847178715,Low Value,Generally save the challenge,159
112,2-2,2,2,2,2 Outs,010,Runner on 2nd,0.2546374367622259,0.0,0.3076923076923077,0.3076923076923077,Low Value,Generally save the challenge,2372
113,2-2,2,2,2,2 Outs,001,Runner on 3rd,0.2335928809788654,0.0,0.3075601374570447,0.3075601374570447,Low Value,Generally save the challenge,899
114,0-2,0,2,0,0 Outs,010,Runner on 2nd,0.9503267973856208,0.6580310880829016,0.9652665589660744,0.3072354708831728,Low Value,Generally save the challenge,765
115,1-2,1,2,0,0 Outs,100,Runner on 1st,0.7804187889077533,0.5191592685332727,0.8213483146067416,0.30218904607346897,Low Value,Generally save the challenge,3534
116,2-1,2,1,2,2 Outs,110,Runners on 1st & 2nd,0.4451438848920863,0.3360995850622407,0.6371490280777538,0.30104944301551306,Low Value,Generally save the challenge,1112
117,2-1,2,1,1,1 Out,100,Runner on 1st,0.5892623308598866,0.461027713625866,0.7617554858934169,0.30072777226755093,Low Value,Generally save the challenge,2291
118,3-1,3,1,1,1 Out,001,Runner on 3rd,0.979591836734694,0.9159891598915988,1.215609756097561,0.29962059620596215,Low Value,Generally save the challenge,147
119,1-2,1,2,1,1 Out,010,Runner on 2nd,0.5704918032786885,0.3233202986135798,0.6223250433776749,0.2990047447640951,Low Value,Generally save the challenge,1830
120,1-1,1,1,0,0 Outs,010,Runner on 2nd,1.1739475774424146,0.9652665589660744,1.2604456824512535,0.29517912348517916,Low Value,Generally save the challenge,1259
121,1-1,1,1,0,0 Outs,111,Bases Loaded,2.4038461538461537,2.239130434782609,2.5327868852459017,0.2936564504632928,Low Value,Generally save the challenge,260
122,1-1,1,1,1,1 Out,111,Bases Loaded,1.492091388400703,1.3797909407665503,1.6734006734006734,0.29360973263412316,Low Value,Generally save the challenge,569
123,2-2,2,2,0,0 Outs,000,Bases Empty,0.4563538803821489,0.2658441001775763,0.5586339477552866,0.2927898475777103,Low Value,Generally save the challenge,15282
124,1-2,1,2,0,0 Outs,111,Bases Loaded,2.239130434782609,1.5984943538268508,1.8901734104046244,0.2916790565777736,Low Value,Generally save the challenge,230
125,0-0,0,0,0,0 Outs,110,Runners on 1st & 2nd,1.571897810218978,1.4306451612903226,1.7115384615384617,0.2808933002481391,Low Value,Generally save the challenge,2740
126,0-1,0,1,0,0 Outs,101,Runners on 1st & 3rd,1.6706443914081146,1.4956521739130435,1.7762237762237765,0.28057160231073297,Low Value,Generally save the challenge,419
127,1-1,1,1,0,0 Outs,101,Runners on 1st & 3rd,1.7762237762237765,1.6597222222222223,1.9361702127659572,0.2764479905437349,Low Value,Generally save the challenge,286
128,2-1,2,1,0,0 Outs,101,Runners on 1st & 3rd,1.9361702127659572,1.7427385892116185,2.018181818181818,0.27544322897019957,Low Value,Generally save the challenge,141
129,2-1,2,1,1,1 Out,011,Runners on 2nd & 3rd,1.332155477031802,1.1626016260162602,1.435374149659864,0.2727725236436038,Low Value,Generally save the challenge,283
130,3-1,3,1,2,2 Outs,101,Runners on 1st & 3rd,0.5753424657534246,0.4805825242718446,0.7524446731857951,0.2718621489139505,Low Value,Generally save the challenge,219
131,2-1,2,1,1,1 Out,101,Runners on 1st & 3rd,1.1837349397590362,1.0614754098360657,1.3333333333333333,0.27185792349726756,Low Value,Generally save the challenge,332
132,2-0,2,0,2,2 Outs,110,Runners on 1st & 2nd,0.5558659217877095,0.4451438848920863,0.7161016949152542,0.27095781002316793,Low Value,Generally save the challenge,716
133,1-0,1,0,0,0 Outs,111,Bases Loaded,2.6214285714285714,2.4038461538461537,2.674698795180723,0.2708526413345691,Low Value,Generally save the challenge,280
134,3-0,3,0,1,1 Out,101,Runners on 1st & 3rd,1.7524752475247525,1.3333333333333333,1.5984943538268508,0.26516102049351753,Low Value,Generally save the challenge,101
135,1-0,1,0,1,1 Out,111,Bases Loaded,1.6850921273031825,1.492091388400703,1.7554347826086956,0.2633433942079926,Low Value,Generally save the challenge,597
136,0-2,0,2,0,0 Outs,100,Runner on 1st,0.7186477644492911,0.5191592685332727,0.7804187889077533,0.26125952037448064,Low Value,Generally save the challenge,2751
137,0-2,0,2,2,2 Outs,001,Runner on 3rd,0.2147766323024054,0.0,0.2608213096559378,0.2608213096559378,Low Value,Generally save the challenge,582
138,2-0,2,0,1,1 Out,010,Runner on 2nd,0.7837150127226463,0.6604774535809018,0.9195046439628484,0.25902719038194655,Low Value,Generally save the challenge,786
139,0-2,0,2,2,2 Outs,010,Runner on 2nd,0.2054340622929092,0.0,0.2554197871501774,0.2554197871501774,Low Value,Generally save the challenge,1509
140,0-2,0,2,0,0 Outs,001,Runner on 3rd,1.013157894736842,0.8974358974358975,1.1526717557251909,0.2552358582892934,Low Value,Generally save the challenge,76
141,1-2,1,2,2,2 Outs,010,Runner on 2nd,0.2554197871501774,0.0,0.2546374367622259,0.2546374367622259,Low Value,Generally save the challenge,2537
142,3-1,3,1,2,2 Outs,110,Runners on 1st & 2nd,0.6371490280777538,0.499514091350826,0.7524446731857951,0.25293058183496914,Low Value,Generally save the challenge,463
143,3-0,3,0,0,0 Outs,011,Runners on 2nd & 3rd,2.2093023255813957,2.1785714285714284,2.428763440860215,0.2501920122887866,Low Value,Generally save the challenge,43
144,0-2,0,2,1,1 Out,010,Runner on 2nd,0.5043103448275862,0.3233202986135798,0.5704918032786885,0.24717150466510873,Low Value,Generally save the challenge,1160
145,2-2,2,2,2,2 Outs,100,Runner on 1st,0.1642129105322763,0.0,0.2468719923002887,0.2468719923002887,Low Value,Generally save the challenge,3532
146,0-0,0,0,0,0 Outs,101,Runners on 1st & 3rd,1.8223185265438784,1.6706443914081146,1.9166666666666667,0.24602227525855214,Low Value,Generally save the challenge,923
147,0-1,0,1,1,1 Out,111,Bases Loaded,1.4689922480620154,1.2470588235294118,1.492091388400703,0.24503256487129121,Low Value,Generally save the challenge,774
148,3-0,3,0,1,1 Out,001,Runner on 3rd,0.9473684210526316,0.979591836734694,1.215609756097561,0.23601791936286698,Low Value,Generally save the challenge,95
149,1-2,1,2,1,1 Out,100,Runner on 1st,0.4253290966863368,0.2265067333872985,0.461027713625866,0.2345209802385675,Low Value,Generally save the challenge,4406
150,0-0,0,0,1,1 Out,110,Runners on 1st & 2nd,0.9572794899043572,0.847114556416882,1.08130081300813,0.23418625659124803,Low Value,Generally save the challenge,4705
151,1-2,1,2,2,2 Outs,001,Runner on 3rd,0.2608213096559378,0.0,0.2335928809788654,0.2335928809788654,Low Value,Generally save the challenge,901
152,1-0,1,0,0,0 Outs,101,Runners on 1st & 3rd,1.9166666666666667,1.7762237762237765,2.008695652173913,0.23247187595013652,Low Value,Generally save the challenge,324
153,3-2,3,2,2,2 Outs,000,Bases Empty,0.1306550850524792,0.0,0.2265067333872985,0.2265067333872985,Low Value,Generally save the challenge,5526
154,2-0,2,0,1,1 Out,100,Runner on 1st,0.6935791481246026,0.5892623308598866,0.8140900195694716,0.22482768870958503,Low Value,Generally save the challenge,1573
155,2-0,2,0,2,2 Outs,111,Bases Loaded,1.010600706713781,0.909313725490196,1.1333333333333333,0.22401960784313735,Low Value,Generally save the challenge,283
156,0-1,0,1,0,0 Outs,010,Runner on 2nd,1.044338335607094,0.9503267973856208,1.1739475774424146,0.22362078005679387,Low Value,Generally save the challenge,1466
157,3-0,3,0,0,0 Outs,001,Runner on 3rd,1.2333333333333334,1.6,1.8223185265438784,0.2223185265438783,Low Value,Generally save the challenge,30
158,3-1,3,1,1,1 Out,010,Runner on 2nd,0.7754716981132076,0.740495867768595,0.9572794899043572,0.2167836221357622,Low Value,Generally save the challenge,530
159,3-0,3,0,0,0 Outs,000,Bases Empty,0.7460024600246002,0.6707595659623072,0.8872843210802701,0.21652475511796287,Low Value,Generally save the challenge,1626
160,2-0,2,0,0,0 Outs,000,Bases Empty,0.5858250276854928,0.5297134574646003,0.7460024600246002,0.21628900255999994,Low Value,Generally save the challenge,5418
161,0-0,0,0,1,1 Out,111,Bases Loaded,1.5984943538268508,1.4689922480620154,1.6850921273031825,0.21609987924116703,Low Value,Generally save the challenge,1594
162,1-1,1,1,1,1 Out,101,Runners on 1st & 3rd,1.0722543352601157,0.9678899082568808,1.1837349397590362,0.2158450315021554,Low Value,Generally save the challenge,692
163,2-1,2,1,0,0 Outs,000,Bases Empty,0.5297134574646003,0.4563538803821489,0.6707595659623072,0.21440568558015832,Low Value,Generally save the challenge,8969
164,2-2,2,2,1,1 Out,000,Bases Empty,0.2359133126934984,0.1029224904701397,0.3171496862862265,0.2142271958160868,Low Value,Generally save the challenge,11305
165,3-1,3,1,2,2 Outs,100,Runner on 1st,0.3393425238600212,0.2468719923002887,0.4585734870317003,0.21170149473141162,Low Value,Generally save the challenge,943
166,1-0,1,0,0,0 Outs,100,Runner on 1st,0.9669336088865926,0.8529176658673061,1.063391442155309,0.2104737762880029,Low Value,Generally save the challenge,3871
167,0-1,0,1,1,1 Out,110,Runners on 1st & 2nd,0.847114556416882,0.7183333333333334,0.9278846153846154,0.20955128205128204,Low Value,Generally save the challenge,2322
